type,name,start,end
int,pescu4e,892,893
int,pescu4f,894,895
int,pescu4g,896,897
int,pescu4h,898,899
int,pescu4i,900,901
int,pescu4j,902,903
int,pescu4k,904,905
int,pescu4l,906,907
int,pesaway1,908,909
int,pesaway2,910,911
int,pescu5,912,913
int,pescu6a,914,915
int,pescu6b,916,917
int,pescu6c,918,919
int,pescu6d,920,921
int,pescu6e,922,923
int,pescu6f,924,925
int,pescu6g,926,927
int,pescu6h,928,929
int,pescu6i,930,931
int,pescu6j,932,933
int,pescu6k,934,935
int,pescu6l,936,937
int,pescu6m,938,939
int,pescu6n,940,941
int,pescu7,942,943
int,pescu8,944,945
int,pescu9a,946,947
int,pescu9b,948,949
int,pescu9c,950,951
int,pescu9d,952,953
int,pescu9e,954,955
int,pescu9f,956,957
int,pescu9g,958,959
int,pescu9h,960,961
int,pescu9i,962,963
int,pescu9j,964,965
int,pescu9k,966,967
int,pescu9l,968,969
int,pescu9m,970,971
int,pescu9n,972,973
int,pescu9o,974,975
int,pescu10,976,977
int,pescu11,978,979
int,pescu12a,980,981
int,pescu12b,982,983
int,pescu12c,984,985
int,pescu13a,986,987
int,pescu13b,988,989
int,pescu13c,990,991
int,pescu13d,992,993
int,pescu13e,994,995
int,pescu13f,996,997
int,pescu13g,998,999
int,pescu13h,1000,1001
int,pescu13i,1002,1003
int,pescu14,1004,1005
int,peschcu1,1006,1007
int,peschcu2,1008,1009
int,peschcu3,1010,1011
int,pesccu4a,1012,1013
int,pesccu4b,1014,1015
int,pesccu4c,1016,1017
int,pesccu4d,1018,1019
int,pesccu4e,1020,1021
int,pesccu4f,1022,1023
int,pesccu4g,1024,1025
int,pesccu4h,1026,1027
int,pesccu4i,1028,1029
int,pesccu4j,1030,1031
int,peschcu5,1032,1033
int,peschcu6,1034,1035
int,peschcu7,1036,1037
int,pesccu8a,1038,1039
int,pesccu8b,1040,1041
int,pesccu8c,1042,1043
int,pesccu8d,1044,1045
int,pesccu8e,1046,1047
int,pesccu8f,1048,1049
int,pesccu8g,1050,1051
int,pxsschol,1052,1053
int,pxpublic,1054,1055
int,pxgrade,1056,1057
int,pxfull,1058,1059
int,pxstype,1060,1061
int,pxvoca,1062,1063
int,pxlastyr,1064,1065
int,pxlastgd,1066,1067
int,pxyrdeg,1068,1069
int,pxyratt,1070,1071
int,pxyrdip,1072,1073
int,pxged,1074,1075
int,pxscu1,1076,1077
int,pxscu2,1078,1079
int,pxscu3,1080,1081
int,pxscu4,1082,1083
int,pxsaway1,1084,1085
int,pxsaway2,1086,1087
int,pxscu5,1088,1089
int,pxscu6,1090,1091
int,pxscu7,1092,1093
int,pxscu8,1094,1095
int,pxscu9,1096,1097
int,pxscu10,1098,1099
int,pxscu11,1100,1101
int,pxscu12a,1102,1103
int,pxscu12b,1104,1105
int,pxscu12c,1106,1107
int,pxscu13,1108,1109
int,pxsch35,1110,1111
int,pxsch614,1112,1113
int,pxchpub,1114,1115
int,pxchgrde,1116,1117
int,pxs56,1118,1119
int,pxs57,1120,1121
int,pxschcu1,1122,1123
int,pxschcu2,1124,1125
int,pxschcu3,1126,1127
int,pxsccu4,1128,1129
int,pxschcu5,1130,1131
int,pxschcu6,1132,1133
int,pxschcu7,1134,1135
int,pxsccu8,1136,1137
